,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
"CHLORMERODRIN, HG-197",3.901,3.901,-0.344,-0.344,3.834,3.476,-0.3204,0,367.2,2,4,64.35,0.6,6
CHLORMEZA0NE,3.96,3.96,1.235,1.235,4.756,4.468,-0.4125,0,273.7,0,4,54.45,0.05556,1
CHLOROPROCAINE,5.22,1.893,2.817,1.126,4.2,4.965,0.2455,0,270.8,1,4,55.56,0.3889,7
CHLOROQUINE,2.434,1.205,4.63,1.58,4.512,6.211,0.3297,1,319.9,1,3,28.16,0.3478,8
CHLOROTHIAZIDE,3.611,4.906,-0.2402,-0.04998,4.003,4.036,-0.9257,0,295.7,2,7,118.7,0.05556,1
CHLOROTRIANISENE,0.3978,0.3978,5.527,5.527,6.034,5.889,0.4826,0,380.9,0,3,27.69,0.2069,6
CHLOROXINE,2.182,2.182,3.527,3.527,4.457,4.762,-2.266,0,214,1,2,33.12,0,0
CHLORPHENESIN CARBAMATE,3.79,3.79,1.136,1.136,4.211,4.22,-0.3858,0,245.7,2,5,81.78,0.375,6
CHLORPHENIRAMINE,2.866,1.683,3.17,1.721,4.813,5.577,0.8564,0,274.8,0,2,16.13,0.25,5
CHLORPHENTERMINE,4.431,2.621,2.6,0.7721,4.301,4.517,0.1426,0,183.7,1,1,26.02,0.1667,2
CHLORPROMAZINE,0.9002,2.193,5.291,3.052,4.917,6.053,1.164,1,318.9,0,2,6.48,0.1739,4
CHLORPROPAMIDE,3.543,3.034,2.27,0.677,4.043,4.628,-0.5965,0,276.7,2,5,75.27,0.3529,6
CHLORPROTHIXENE,1.413,2.508,5.411,3.71,4.973,5.854,0.9507,0,315.9,0,1,3.24,0.1304,3
CHLORTETRACYCLINE,2.766,3.631,0.8176,-0.1713,4.834,2.609,-1.298,1,478.9,6,10,181.6,0.05556,2
CHLORTHALIDONE,2.885,2.885,0.8717,0.8717,4.912,3.892,-0.6177,0,338.8,3,6,109.5,0.08333,2
CHLORZOXAZONE,3.18,3.18,1.846,1.846,4.259,4.132,-0.5705,0,169.6,1,3,46,0,0
CHOLECALCIFEROL,0.49,0.49,7.216,7.216,4.891,6.209,0.205,0,384.6,1,1,20.23,0.2,6
CICLOPIROX,3.124,3.124,1.858,1.858,4.373,4.807,-0.7491,0,207.3,1,3,42.23,0.0625,1
CIDOFOVIR,4.579,4.346,-2.346,-3.092,4.064,3.783,-1.153,0,279.2,4,9,147.9,0.3333,6
CILASTATIN,3.564,4.433,-2.445,-2.392,4.278,1.908,-1.741,1,358.5,4,7,129.7,0.5,12
CILOSTAZOL,2.544,2.544,3.239,3.239,4.685,5.966,0.2188,1,369.5,1,7,81.93,0.2333,7
CIMETIDINE,3.749,3.229,0.3998,0.34,3.902,3.417,-1.44,0,252.3,3,6,88.89,0.4706,8
CINACALCET,0.313,0.111,6.149,3.728,5.471,6.265,0.9036,1,357.4,1,1,12.03,0.25,7
CI0XACIN,1.508,3.035,1.105,-0.5299,4.409,3.705,-1.047,0,262.2,1,7,90.65,0.09524,2
CIPROFLOXACIN,2.603,3.141,-1.08,-0.8218,4.97,4.357,-1.157,1,331.3,2,6,74.57,0.1111,3
CISAPRIDE,2.145,2.343,3.262,2.511,5.165,5.806,-0.1769,1,465.9,2,7,86.05,0.2941,10
CISATRACURIUM,1.556,4.934,5.117,3.738,5.483,7.977,-0.2298,1,929.1,0,14,126.4,0.3611,26
CITALOPRAM,2.246,1.245,3.929,2.29,4.958,5.975,0.2441,1,324.4,0,3,36.26,0.2308,6
CITRIC ACID,6.49,4.992,-1.014,-5.442,4.027,0.8882,-1.428,0,192.1,4,7,132.1,0.4167,5
CLADRIBINE,3.681,2.38,0.01991,-0.3184,4.845,4.374,-1.308,0,285.7,3,8,119.3,0.09524,2
CLARITHROMYCIN,2.601,4.331,2.759,1.571,5.142,3.991,-1.646,1,748,4,14,182.9,0.1481,8
CLAVULANATE,5.022,4.706,-0.8546,-2.948,4.068,2.904,-1.375,0,199.2,2,6,87.07,0.1333,2
CLEMASTINE,1.556,1.67,5.133,3.382,4.873,6.075,1.093,0,343.9,0,2,12.47,0.2308,6
CLIDINIUM,3.795,1.599,2.999,0.6066,5.062,5.531,0.5285,1,352.4,1,4,46.53,0.1724,5
CLINDAMYCIN,4.643,4.204,0.7308,-1.391,4.877,3.66,-1.376,1,505,5,10,148.8,0.3125,10
CLINDAMYCIN PALMITATE,2.11,1.661,6.367,2.764,4.899,5.768,-0.6195,1,663.4,3,8,108.3,0.5333,24
CLIOQUI0L,1.997,1.997,3.74,3.74,4.457,4.875,-2.4,0,305.5,1,2,33.12,0,0
CLOBETASOL PROPIONATE,0.8978,0.8978,3.287,3.287,5.036,4.632,-0.6668,0,467,1,5,80.67,0.1429,5
CLOCORTOLONE PIVALATE,0.3775,0.3775,4.307,4.307,5.101,4.733,-0.552,1,495,1,5,80.67,0.1351,5
CLOFARABINE,3.509,2.301,-0.1905,-0.001437,4.896,4.363,-1.219,0,303.7,3,8,119.3,0.09091,2
CLOFAZIMINE,-1.987,-1.987,7.589,7.589,6.222,6.987,0.2689,1,473.4,1,4,42.21,0.1081,4
CLOFIBRATE,2.641,2.641,3.505,3.505,4.619,4.786,0.6511,0,242.7,0,3,35.53,0.3125,5
CLOMIPHENE,1.19,0.7775,6.243,4.349,5.403,6.592,0.7183,1,406,0,2,12.47,0.2903,9
CLOMIPRAMINE,1.516,1.197,5.46,3.32,4.661,6.203,1.168,0,314.9,0,2,6.48,0.1667,4
CLONAZEPAM,2.5,2.5,2.364,2.364,5.158,4.482,0.2716,0,315.7,1,6,87.28,0.08333,2
CLONIDINE,3.353,2.373,2.065,0.62,4.275,3.792,0.13,0,230.1,2,3,36.42,0.1333,2
CLOPIDOGREL,2.027,1.232,3.861,2.576,4.792,5.408,0.1497,0,321.8,0,3,29.54,0.1739,4
CLORAZEPATE,2.603,2.929,1.733,-0.2111,4.974,2.975,-1.264,0,332.7,4,6,102.1,0.08,2
CLOTRIMAZOLE,-0.4865,-0.4865,5.556,5.556,5.902,5.543,0.5267,1,344.8,0,2,17.82,0.1429,4
CLOXACILLIN,1.596,4.408,2.43,-0.02608,5.252,2.809,-1.513,0,435.9,2,8,112.7,0.1562,5
CLOZAPINE,2.514,2.216,2.854,2.99,5.112,5.838,0.5241,1,326.8,1,4,30.87,0.03846,1
CODEINE,4.123,1.658,1.14,1.063,4.625,5.503,0.407,1,299.4,1,4,41.93,0.03846,1
COLCHICINE,3.239,3.239,1.3,1.3,5.059,4.263,-0.8527,1,399.4,1,7,83.09,0.1935,6
COLFOSCERIL PALMITATE,1.474,2.445,6.911,3.579,4.633,7.285,-0.295,1,735.1,1,9,108.4,0.8163,40
CORTISONE ACETATE,1.7,1.7,2.096,2.096,4.707,4.4,-0.8751,0,402.5,1,6,97.74,0.125,4
COSYNTROPIN,5.679,7.792,-2.205,7.566,5.242,2.26,-1.024,1,2933,42,71,1159,0.5509,119
CROMOLYN,2.061,5.289,1.649,-0.9038,5.693,3.746,-1.404,1,468.4,3,11,173.7,0.2162,8
CROTAMITON,3.355,3.355,2.775,2.775,4.501,4.778,0.1781,0,203.3,0,2,20.31,0.2667,4
CYA0COBALAMIN,1.819,3.76,1.548,3.103,5.097,1.503,-1.224,1,1356,10,28,475,0.29,29
CYCLACILLIN,4.119,4.349,-1.2,-2.074,4.243,2.262,-1.706,0,341.4,3,7,112.7,0.16,4
CYCLIZINE,3.57,2.213,3.056,2.436,4.712,6.273,0.9143,1,266.4,0,2,6.48,0.1364,3
CYCLOBENZAPRINE,2.812,1.735,4.48,2.541,4.961,5.866,1.06,0,275.4,0,1,3.24,0.1304,3
CYCLOPENTOLATE,4.013,2.037,3.161,0.6745,4.406,5.178,0.1422,0,291.4,1,4,49.77,0.3182,7
CYCLOPHOSPHAMIDE,5.19,5.19,0.63,0.63,3.969,4.608,-0.3856,0,261.1,1,4,41.57,0.3571,5
CYCLOSERINE,6.053,3.647,-1.203,-2.461,3.593,3.02,-0.3275,0,102.1,2,4,64.35,0,0
CYCLOSPORINE,3.41,3.41,3.114,3.114,4.931,2.642,-0.7842,1,1203,5,23,278.8,0.1765,15
CYCLOTHIAZIDE,2.383,3.53,1.366,1.855,4.813,4.871,-0.7679,1,389.9,3,7,118.4,0.07407,2
CYCRIMINE,4.32,1.807,3.793,1.614,4.394,5.864,0.7395,0,287.4,1,2,23.47,0.2174,5
CYPROHEPTADINE,2.682,1.185,4.254,3.11,4.956,6.024,0.8352,0,287.4,0,1,3.24,0,0
CYSTEAMINE,6.449,3.101,0.1959,-1.274,4.144,3.7,-0.2953,0,77.15,1,1,26.02,0.3333,1
CYSTEINE,6.36,3.971,-2.43,-2.528,3.796,2.555,-0.8645,0,121.2,2,3,63.32,0.3333,2
CYTARABINE,4.706,2.903,-2.29,-2.13,4.097,3.562,-1.06,0,243.2,4,8,130.8,0.1111,2
DACARBAZINE,5.331,5.331,-0.24,-0.24,3.594,3.035,-0.04269,0,182.2,2,7,99.73,0.2308,3
DACTI0MYCIN,2.429,6.733,2.481,3.501,5.156,2.24,-1.528,1,1255,5,28,360,0.1042,10
DALFOPRISTIN,1.958,3.297,2.637,1.466,5.31,5.331,-0.7251,1,690.9,2,13,176.4,0.14,7
DANAZOL,1.233,1.233,4.221,4.221,4.736,5.501,-0.1132,0,337.5,1,3,46.26,0.03448,1
DANTROLENE,1.622,1.622,1.555,1.555,4.412,4.141,-0.4744,0,314.3,1,9,120.7,0.16,4
DAPIPRAZOLE,3.215,1.938,3.133,1.41,4.709,6.264,0.5207,0,325.5,0,5,37.19,0.1481,4
DAPSONE,2.13,3.804,0.9701,0.68,4.244,4.468,-0.1298,0,248.3,2,4,86.18,0.1111,2
DAPTOMYCIN,3.561,5.656,-1.512,3.575,4.902,0.8935,-1.085,1,1621,22,43,702,0.3305,39
DARIFENACIN,0.9763,0.5102,4.189,2.733,5.518,5.81,-0.62,1,426.6,1,4,55.56,0.1944,7
DAU0RUBICIN,0.8119,3.631,1.476,0.6601,5.621,3.463,-0.8468,1,527.5,5,11,185.8,0.09524,4
DECAMETHONIUM,4.711,3.484,4.33,0.2608,4.173,6.386,0.5994,0,258.5,0,2,0,0.6471,11
DEFEROXAMINE,4.33,4.339,0.3538,-0.1429,4.557,3.977,-1.556,1,560.7,6,14,205.8,0.7368,28
DELAVIRDINE,2.597,1.349,1.361,1.454,5.436,5.959,-1.14,1,456.6,3,9,110.4,0.2,7
DEMECARIUM,3.045,4.046,5.476,1.951,5.198,7.508,0.1692,1,556.8,0,8,59.08,0.4634,19
DEMECLOCYCLINE,2.886,3.715,0.6105,0.05104,4.886,2.699,-1.293,1,464.9,6,10,181.6,0.05714,2
DESERPIDINE,2.179,2.431,3.63,2.972,5.725,5.755,-0.3443,1,578.7,1,10,108.5,0.1915,9
DESFLURANE,4.378,4.378,2.257,2.257,4.536,4.652,0.3812,0,168,0,1,9.23,0.3333,3
DESIPRAMINE,2.039,0.666,3.543,1.45,4.726,5.583,0.5704,0,266.4,1,2,15.27,0.1818,4
DESLA0SIDE,3.41,3.41,0.7793,0.7793,5.011,3.787,-1.518,1,943.1,9,19,282.2,0.1351,10
DESLORATADINE,2.841,1.385,3.446,1.882,5.337,5.507,0.7149,0,310.8,1,2,24.92,0,0
DESMOPRESSIN,3.096,3.664,-0.7056,2.337,4.92,0.8287,-1.076,1,1069,14,26,435.4,0.2987,23
DESOGESTREL,1.548,1.548,4.737,4.737,4.811,5.505,0.4208,0,310.5,1,1,20.23,0.07692,2
DESONIDE,2.024,2.024,2.653,2.653,4.894,4.348,-0.832,1,416.5,2,6,93.06,0.05882,2
DESOXIMETASONE,2.072,2.072,2.473,2.473,4.827,4.544,-0.754,1,376.5,2,4,74.6,0.06667,2
DESOXYCORTICOSTERONE,1.37,1.37,3.08,3.08,4.787,4.833,-0.4419,0,372.5,0,4,60.44,0.1333,4
DESOXYCORTICOSTERONE PIVALATE,0.4636,0.4636,4.507,4.507,4.82,5.107,-0.2174,0,414.6,0,4,60.44,0.1515,5
DEXAMETHASONE,2.111,2.111,2.01,2.01,4.685,4.461,-0.9676,1,392.5,3,5,94.83,0.06452,2
DEXAMETHASONE ACETATE,1.506,1.506,2.315,2.315,4.776,4.359,-0.9291,0,434.5,2,6,100.9,0.1176,4
DEXAMETHASONE PHOSPHATE,2.133,3.651,1.668,-0.1523,4.773,4.289,-1.252,0,472.4,4,8,141.4,0.1143,4
DEXBROMPHENIRAMINE,2.608,1.616,3.699,1.618,4.84,5.703,0.9416,0,319.2,0,2,16.13,0.25,5
DEXCHLORPHENIRAMINE,2.866,1.683,3.17,1.721,4.813,5.577,0.8564,0,274.8,0,2,16.13,0.25,5
DEXMEDETOMIDINE,2.85,2.85,3.357,3.357,4.321,4.295,0.3773,0,200.3,1,2,28.68,0.125,2
DEXMETHYLPHENIDATE,4.235,2.344,2.673,0.6492,4.645,4.631,1.08,0,233.3,1,3,38.33,0.2222,4
DEXPANTHE0L,5.558,5.558,-0.6163,-0.6163,4.049,3.557,-0.5477,0,205.3,4,5,89.79,0.5385,7
DEXRAZOXANE,5.597,3.082,-0.3206,-1.31,4.127,3.672,-0.04661,0,268.3,2,8,98.82,0.15,3
DEXTROAMPHETAMINE,5.186,2.607,1.76,-0.4031,4.006,4.2,-0.007365,0,135.2,1,1,26.02,0.2,2
DEXTROMETHORPHAN,3.672,1.394,2.999,1.788,4.535,5.893,0.5942,1,271.4,0,2,12.47,0.04348,1
DEXTROSE,6.44,6.44,-2.302,-2.302,3.855,3.251,-1.227,0,180.2,5,6,110.4,0.08333,1
DEXTROTHYROXINE,0.864,3.796,1.562,0.5606,5.192,3.873,-1.391,0,776.9,3,5,92.78,0.2,5
DEZOCINE,3.201,1.575,3.632,0.3936,4.631,4.774,-0.5026,1,245.4,2,2,46.25,0,0
DIATRIZOATE,3.593,4.286,1.58,-0.1266,4.896,3.116,-0.8559,0,613.9,3,6,95.5,0.25,5
DIAZEPAM,2.24,2.24,2.99,2.99,5.284,4.59,0.02228,0,284.7,0,3,32.67,0.04545,1
DIAZOXIDE,3.543,3.909,1.21,-0.3594,4.182,3.991,-0.6397,0,230.7,1,4,58.53,0,0
DIBUCAINE,2.09,1.031,4.4,2.527,4.374,5.563,-0.04426,1,343.5,1,5,54.46,0.4231,11
DICHLORPHENAMIDE,3.267,3.267,0.2256,0.2256,4.063,4.367,-0.7686,0,305.2,2,6,120.3,0.125,2
DICLOFENAC,0.9001,2.42,4.86,1.793,5.228,4.112,-1.3,0,296.2,2,3,49.33,0.2,4
DICLOXACILLIN,1.161,4.409,2.91,0.5519,5.505,2.79,-1.523,0,470.3,2,8,112.7,0.1515,5
DICUMAROL,1.846,3.929,3.545,1.972,6.372,4.938,-0.8567,1,336.3,2,6,100.9,0.07143,2
DICYCLOMINE,3.063,1.363,5.049,2.019,4.447,5.845,0.4744,0,309.5,0,3,29.54,0.3478,8
DIDA0SINE,3.873,3.873,-0.4075,-0.4075,4.256,4.828,-1.436,1,236.2,2,7,93.29,0.1053,2
DIENESTROL,2.281,2.281,4.246,4.246,5.304,5.639,-0.02343,0,266.3,2,2,40.46,0.1429,3
DIETHYLCARBAMAZINE,5.455,2.844,0.5922,-0.2811,3.891,4.965,0.08244,0,199.3,0,4,26.79,0.2857,4
DIETHYLPROPION,4.205,1.826,2.412,1.619,4.19,5.324,0.8857,0,205.3,0,2,20.31,0.3333,5
DIETHYLSTILBESTROL,2.098,2.098,4.871,4.871,5.132,5.67,0.06202,0,268.4,2,2,40.46,0.1905,4
DIETHYLSTILBESTROL DIPHOSPHATE,2.4,3.912,3.765,-0.292,5.208,5.246,-0.4587,0,428.3,4,8,133.5,0.2759,8
DIFE0XIN,0.9686,0.9395,4.511,1.198,5.402,5.097,-0.9641,1,424.5,1,4,64.33,0.2286,8
DIFLORASONE DIACETATE,0.8192,0.8192,2.944,2.944,5.131,4.292,-0.8327,1,494.5,1,7,107,0.1579,6
DIFLUNISAL,1.482,3.249,3.493,0.37,4.908,4.047,-1.155,0,250.2,2,3,57.53,0.1053,2
DIGITOXIN,0.71,0.71,2.831,2.831,5.079,4.581,-1.19,1,764.9,5,13,182.8,0.1148,7
DIGOXIN,1.93,1.93,1.68,1.68,5.006,4.304,-1.23,1,780.9,6,14,203.1,0.1129,7
DIHYDROCODEINE,4.1,1.368,1.531,0.9019,4.494,5.492,0.2448,1,301.4,1,4,41.93,0.03846,1
DIHYDROERGOTAMINE,2.202,1.967,2.982,1.884,5.131,4.515,-1.723,1,583.7,3,10,118.2,0.1,5
DILTIAZEM,2.931,2.311,2.8,2.36,5.248,5.231,-0.2489,0,414.5,0,6,59.08,0.2258,7
DIMENHYDRINATE,3.554,1.466,3.27,1.39,4.825,5.513,1.26,0,255.4,0,2,12.47,0.3,6
DIMERCAPROL,5,5,0.7999,0.7999,3.988,4.042,-0.06793,0,124.2,1,1,20.23,0.4,2
DIMETHYL SULFOXIDE,6.306,6.306,-0.2049,-0.2049,4.075,3.892,0.1415,0,78.13,0,1,17.07,0,0
DI0PROST,2.965,3.358,2.72,-0.4808,4.433,4.756,-0.6927,1,354.5,4,5,97.99,0.48,12
DI0PROSTONE,2.413,3.329,2.82,-0.3446,4.428,4.561,-0.6721,1,352.5,3,5,94.83,0.48,12
DIPHEMANIL,3.71,1.183,4.357,1.826,4.909,6.146,0.9094,0,278.4,0,1,0,0.08696,2
DIPHENHYDRAMINE,3.554,1.466,3.27,1.39,4.825,5.513,1.26,0,255.4,0,2,12.47,0.3,6
DIPHENIDOL,3.336,1.809,3.794,1.945,4.687,5.89,0.7331,0,309.4,1,2,23.47,0.24,6
DIPHE0XYLATE,0.2553,0.4184,5.217,2.772,5.479,6.502,0.5462,1,452.6,0,4,53.33,0.2703,10
DIPHENYLPYRALINE,2.382,1.612,3.971,2.324,4.913,6.005,1.141,0,281.4,0,2,12.47,0.1739,4
DIPIVEFRIN,3.161,2.406,2.76,1.369,4.682,4.592,0.1805,1,351.4,2,6,84.86,0.36,9
DIPYRIDAMOLE,3.028,0.8956,1.992,1.349,5.243,6.85,-0.8953,1,504.6,4,12,145.4,0.3077,12
DIRITHROMYCIN,3.179,4.379,2.963,1.953,5.06,4.207,-1.372,1,835.1,5,16,196.3,0.1967,12
DISOPYRAMIDE,2.32,1.337,2.71,-0.66,4.882,4.785,0.006459,1,339.5,1,4,59.22,0.3077,8
DISULFIRAM,1.14,1.14,2.601,2.601,4.324,4.949,0.3537,0,296.5,0,2,6.48,0.6,9
DOBUTAMINE,3.039,2.21,2.811,0.09241,5.073,5.453,-0.2556,0,301.4,4,4,72.72,0.3043,7
DOCETAXEL,0.1843,0.1843,2.41,2.41,5.373,3.886,-1.255,1,807.9,5,15,224.4,0.2222,14
DOCOSA0L,1.625,1.625,6.367,6.367,4.465,6.611,0.5283,1,326.6,1,1,20.23,0.9091,20
DOFETILIDE,3.934,3.612,2.099,0.96,4.939,7.074,-0.8163,1,441.6,2,8,104.8,0.3667,11
DOLASETRON,2.57,2.518,2.608,1.011,4.652,5.015,0.2939,0,324.4,1,5,62.4,0.1071,3
DONEPEZIL,1.865,1.651,3.537,2.755,4.972,6.408,0.79,1,379.5,0,4,38.77,0.1935,6
DOPAMINE,5.279,3.355,-0.007421,-1.802,3.932,4.019,-0.5183,0,153.2,3,3,66.48,0.1818,2
DORZOLAMIDE,3.302,4.778,0.7369,-0.5044,4.193,4.379,-0.8746,0,324.4,2,6,106.3,0.15,3
DOXACURIUM,1.882,5.936,4.007,4.091,5.539,6.921,-0.1922,1,1035,0,18,163.4,0.3671,29
DOXAPRAM,2.654,1.025,2.831,1.994,4.993,5.838,-0.1694,1,378.5,0,4,32.78,0.1935,6
DOXAZOSIN,1.512,1.021,1.895,2.44,5.671,5.355,-0.5816,1,451.5,1,10,112.3,0.1351,5
DOXEPIN,2.05,1.606,4.101,2.27,4.802,5.742,0.5502,0,279.4,0,2,12.47,0.1304,3
DOXERCALCIFEROL,1.015,1.015,6.102,6.102,5.024,6.079,0.01307,1,412.7,2,2,40.46,0.1562,5
DOXORUBICIN,1.388,3.859,0.1001,0.1001,5.728,3.329,-0.83,1,543.5,6,12,206.1,0.1163,5
DOXYCYCLINE,2.833,3.796,-0.2456,0.23,4.739,2.638,-1.316,1,444.4,6,10,181.6,0.05714,2
DOXYLAMINE,3.42,1.529,2.856,0.65,4.87,5.163,0.64,0,270.4,0,3,25.36,0.2857,6
DROMOSTA0LONE PROPIONATE,2.325,2.325,4.747,4.747,4.77,4.891,0.07674,1,360.5,0,3,43.37,0.1034,3
DRONABI0L,3.95,3.95,6.238,6.238,4.991,5.818,0.2076,1,314.5,1,2,29.46,0.16,4
DROPERIDOL,1.853,1.613,3.5,2.459,5.031,6.773,0.1738,1,379.4,1,5,58.1,0.1935,6
DROSPIRE0NE,1.379,1.379,2.805,2.805,4.865,4.662,-0.08837,1,366.5,0,3,43.37,0,0
DULOXETINE,1.566,1.439,4.625,2.353,5.007,5.756,0.08114,0,297.4,1,2,21.26,0.2609,6
DUTASTERIDE,0.1761,0.1761,5.28,5.28,5.299,5.131,-0.1256,1,528.5,2,4,58.2,0.122,5
DYCLONINE,2.792,2.174,3.166,2.046,4.333,6.219,0.7635,0,289.4,0,3,29.54,0.3636,8
DYDROGESTERONE,1.667,1.667,3.352,3.352,4.903,4.886,-0.1914,0,312.4,0,2,34.14,0.03846,1
DYPHYLLINE,5.316,5.316,-0.8424,-0.8424,4.064,4.65,-0.9327,0,254.2,2,8,102.3,0.1579,3
ECHOTHIOPHATE,5.741,2.707,2.837,-0.2999,3.985,5.05,0.1441,0,256.3,0,4,35.53,0.5714,8
ECONAZOLE,0.3834,0.3834,5.35,5.35,5.198,5.597,0.6162,0,381.7,0,3,27.05,0.2308,6
EDETATE,5.429,4.987,-1.588,-5.478,4.009,0.8262,-1.528,0,292.2,4,10,155.7,0.5789,11
EDETATE CALCIUM,5.429,4.987,-1.588,-5.478,4.009,0.8262,-1.528,0,292.2,4,10,155.7,0.5789,11
EDROPHONIUM,5.47,2.472,2.111,-0.05475,4.202,5.04,-0.3138,0,166.2,1,2,20.23,0.1667,2
EFAVIRENZ,1.347,1.347,3.975,3.975,5.198,4.989,0.3605,0,315.7,1,3,38.33,0.1304,3
EFLORNITHINE,4.207,4.162,-3.653,-2.631,3.871,2.719,-0.9079,0,182.2,3,4,89.34,0.4545,5
ELETRIPTAN,2.28,2.261,3.571,2.053,4.923,6.102,-0.1248,1,382.5,1,4,53.17,0.2,6
EMEDASTINE,3.91,1.762,2.31,1.59,4.671,6.407,0.2504,1,302.4,0,5,33.53,0.2083,5
EMTRICITABINE,3.643,2.512,-0.8858,-0.3245,4.254,4.11,-1.22,0,247.2,2,6,90.37,0.1176,2
ENALAPRIL,3.362,3.653,0.1139,-2,4.345,3.61,-1.741,1,376.4,2,7,95.94,0.3929,11
ENALAPRILAT,3.756,4.343,-1.559,-4.8,4.289,2.578,-1.86,1,348.4,3,7,106.9,0.3462,9
ENFLURANE,3.987,3.987,2.449,2.449,4.536,4.64,0.24,0,184.5,0,1,9.23,0.3333,3
ENFUVIRTIDE,9.765,10.1,-0.9571,12.85,5.139,2.338,-0.09743,1,4492,63,115,1903,0.5719,187
E0XACIN,2.878,2.62,-0.9103,-1.292,4.908,3.984,-1.164,1,320.3,2,7,87.46,0.12,3
ENTACAPONE,2.985,2.985,1.647,1.647,4.325,4.309,-1.009,0,305.3,2,8,130.4,0.3182,7
EPINASTINE,2.472,1.418,3.51,-0.05924,4.891,4.219,-0.01299,0,249.3,1,3,41.62,0,0
EPINEPHRINE,5.195,2.978,-0.3884,-1.937,3.989,4.091,-0.6626,0,183.2,4,4,72.72,0.2308,3
EPIRUBICIN,1.388,3.859,0.1001,0.1001,5.728,3.329,-0.83,1,543.5,6,12,206.1,0.1163,5
EPLERE0NE,1.505,1.505,1.543,1.543,4.75,4.353,-0.204,1,414.5,0,6,82.2,0.05714,2
EPOPROSTE0L,2.456,3.533,3.098,-0.2629,4.43,4.665,-0.6495,0,352.5,3,5,86.99,0.3846,10
EPROSARTAN,0.976,3.075,4.408,-0.8386,5.156,4.166,-1.36,1,424.5,2,6,92.42,0.3125,10
EPTIFIBATIDE,2.753,3.569,0.163,0.9701,4.75,1.046,-1.182,1,832,11,20,323.9,0.1833,11
ERGOCALCIFEROL,0.6588,0.6588,7.002,7.002,4.977,6.307,0.1624,0,396.7,1,1,20.23,0.1613,5
ERGOLOID,4.127,1.293,1.562,1.004,4.443,4.682,-0.8632,1,327.4,3,5,68.36,0.1481,4
ERGOTAMINE,2.072,2.485,2.992,1.819,5.176,4.64,-1.356,1,581.7,3,10,118.2,0.1,5
ERLOTINIB,1.183,1.183,3.761,3.761,5.241,5.897,-0.1606,1,393.4,1,7,74.73,0.3548,11
ERTAPENEM,3.102,4.625,-1.791,-3.114,4.93,1.55,-1.817,1,475.5,5,10,156.3,0.2222,8
ERYTHROMYCIN,2.648,4.233,2.54,1.26,5.086,3.958,-1.696,1,733.9,5,14,193.9,0.1321,7
ERYTHROMYCIN ETHYLSUCCINATE,2.101,4.391,3.08,2.047,5.006,3.843,-1.661,1,862.1,4,17,226.3,0.2258,14
ESCITALOPRAM,2.246,1.245,3.929,2.29,4.958,5.975,0.2441,1,324.4,0,3,36.26,0.2308,6
ESMOLOL,3.754,2.584,1.743,0.0599,4.422,4.714,0.403,0,295.4,2,5,67.79,0.4762,10
ESOMEPRAZOLE,2.149,2.149,2.25,2.25,4.928,4.635,-0.82,0,345.4,1,6,77.1,0.1923,5
ESTAZOLAM,1.653,2.219,3.047,1.159,5.37,4.424,-0.2417,0,294.7,1,4,39.99,0.04167,1
ESTRADIOL,1.12,1.12,3.86,3.86,4.693,5.256,-0.3087,1,272.4,2,2,40.46,0,0
ESTRADIOL ACETATE,1.287,1.287,4.026,4.026,4.815,5.209,-0.1179,1,314.4,1,3,46.53,0.07692,2
ESTRADIOL CYPIONATE,0.2371,0.2371,6.135,6.135,4.884,5.893,-0.3068,1,396.6,1,3,46.53,0.1515,5
ESTRADIOL VALERATE,0.4653,0.4653,5.759,5.759,4.761,5.668,-0.2849,1,356.5,1,3,46.53,0.1724,5
ESTRAMUSTINE PHOSPHATE,0.7146,1.656,4.904,1.599,5.03,5.77,-0.7212,1,520.4,2,7,96.3,0.25,9
ESTRONE,1.932,1.932,3.13,3.13,4.68,5.197,-0.3553,1,270.4,1,2,37.3,0,0
ESTRONE SULFATE,1.504,1.909,2.424,1.075,4.761,5.262,-0.5831,0,350.4,1,5,80.67,0.07407,2
ESZOPICLONE,2.751,1.93,1.71,0.9745,4.767,5.232,-0.4295,1,388.8,0,9,91.76,0.1333,4
ETHACRYNIC ACID,2.452,3.657,3.41,-0.0157,4.663,3.716,-0.6483,0,303.1,1,4,63.6,0.3158,6
ETHAMBUTOL,5.593,2.718,0.1542,-1.719,4.015,4.106,-0.6797,0,204.3,4,4,64.52,0.6923,9
ETHA0LAMINE OLEATE,2.732,2.019,2.283,0.5996,4.278,4.666,-1.02,1,327.5,3,4,83.55,0.7273,16
ETHCHLORVY0L,5.513,5.513,1.749,1.749,4.469,4.475,0.05993,0,144.6,1,1,20.23,0.375,3
ETHINAMATE,4.17,4.17,1.407,1.407,4.005,4.116,-0.3405,0,167.2,1,3,52.32,0.25,3
ETHINYL ESTRADIOL,1.58,1.58,3.67,3.67,4.734,5.348,-0.316,1,296.4,2,2,40.46,0.04,1
ETHIONAMIDE,4.156,4.156,1.664,1.664,4.214,3.936,-0.04901,0,166.2,1,2,38.91,0.1818,2
ETHOPROPAZINE,1.661,1.624,5.519,3.045,4.908,5.964,0.6049,1,312.5,0,2,6.48,0.2083,5
